Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
102,Louisa Coffee 路易．莎咖啡(南海直營店),ChIJ4bFAK5-pQjQRFwghgFzLmG0,25.0323322,121.5167449,3.3,50,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區南海路24號
103,伯朗咖啡館 台大醫院店,ChIJDbLTX3SpQjQRvUYQsFFJob8,25.0415506,121.51741159999999,3.8,140,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區常德街1號
104,Louisa Coffee 路易．莎咖啡(台大西址門市),ChIJ052qYXSpQjQRTo4EKE_2YfE,25.0413999,121.5176585,4,130,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區常德街1號
105,怡客咖啡 站前店,ChIJGW1AP3KpQjQR5-7BSUvCs7o,25.046181,121.51853,3.8,607,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區忠孝西路一段39號
106,STARBUCKS 星巴克 (台鐵一門市),ChIJOYUzfnKpQjQR5Xpm_wV9JFI,25.0475771,121.51709650000001,3.9,219,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區北平西路3號2樓
108,STARBUCKS 星巴克 (台北捷運門市),ChIJrRnsfXypQjQR5RegFqscptY,25.045854199999997,121.51790430000001,4.2,209,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","49號 B1F, 忠孝西路一段"
110,Mövenpick Café -莫凡彼誠品站前店,ChIJQS3tXnKpQjQRvzuro6e5WQo,25.046624100000002,121.5174712,4.3,916,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區忠孝西路一段47號B1
111,怡客咖啡 公保店,ChIJCyzJrXOpQjQR8VhicqRfyKw,25.0450478,121.5176544,3.6,677,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",中正區青島西路13號
112,伯朗咖啡館 站前店,ChIJR4UzfnKpQjQRbd0YWamBoQ0,25.047923899999997,121.517081,3.5,165,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",中正區北平西路3號
113,STARBUCKS 星巴克 (許昌南陽門市),ChIJ3SyT4nKpQjQRIKSOnRHAc2I,25.0455712,121.51633100000001,4,311,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區南陽街1號
115,STARBUCKS 星巴克 (青島西門市),ChIJBSM_tHOpQjQREoL2dodZH6M,25.044930899999997,121.518194,4.2,420,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區青島西路7號1樓
117,STARBUCKS 星巴克 (站前誠品門市),ChIJ2fXVX3KpQjQRxzQkKx25ECU,25.046624100000002,121.5174712,3.8,73,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區忠孝西路一段47號B2
119,路易·莎咖啡,ChIJiTdT-e6pQjQRj7x0XKqbioo,25.046234100000003,121.5164145,3.3,3,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","B1-1B櫃, No. 38號, Section 1, Zhongxiao West Road, Zhongzheng District"
120,Starbucks,ChIJtwnr4nKpQjQR7KuPqHZF0Ew,25.04575,121.5161989,3,1,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","No, Dist.2FTaipei City, No. 1, Nanyang Street, Zhongzheng District"
121,Louisa Coffee 路易．莎咖啡(新光保險小舖),ChIJ4aHU53KpQjQRtiph1oralg4,25.046222,121.51583000000001,3.8,226,"['cafe', 'food', 'point_of_interest', 'establishment']","No. 50, Section 1, Zhongxiao West Road, Zhongzheng District"
122,Louisa Coffee 路易．莎咖啡(信陽直營門市),ChIJP1HjCHOpQjQRgUoKRyfrsqQ,25.0447079,121.51679180000001,3.9,318,"['cafe', 'food', 'point_of_interest', 'establishment']","No. 5號之2, Xinyang Street, Zhongzheng District"
123,Louisa Coffee 路易•莎咖啡 (南西店),ChIJTZM2xW6pQjQRXXgn8dJ8VkE,25.0515141,121.52205990000002,3.6,88,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",中山區中山北路一段138號
124,STARBUCKS COFFEE,ChIJdcsqMeCpQjQR1dSa-9UH9vk,25.0526864,121.51959029999999,4.1,437,"['cafe', 'food', 'point_of_interest', 'establishment']","No. 36號, Nanjing West Road, Datong District"
125,LOUISA COFFEE,ChIJSzTw9mupQjQRNs4E53HyqPs,25.053176800000003,121.5189247,3.6,703,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","No. 65, Nanjing West Road, Datong District"
126,STARBUCKS 星巴克 (馬偕門市),ChIJffGqdkKpQjQRSqaw2ml2beQ,25.0579265,121.52170659999999,4,566,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區民生西路7號
128,Louisa Coffee 路易．莎咖啡(雙連店),ChIJ5xPDEGqpQjQR4ItpEYtw-Yo,25.057335300000002,121.519042,3.1,270,"['cafe', 'food', 'point_of_interest', 'establishment']",大同區民生西路132號
129,HWC黑沃咖啡-台北馬偕店,ChIJnfJSWe-pQjQRpG-V_ASLuwE,25.0590235,121.5216342,4.1,126,"['cafe', 'food', 'point_of_interest', 'establishment']",中山區民生西路45巷9弄26號
131,丹堤咖啡,ChIJsXF77V6pQjQRdz2oKAV3vzo,25.0625969,121.52137240000002,3.5,685,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區民權西路34-1號
132,Louisa Coffee 路易．莎咖啡(撫順店),ChIJc2FFUkGpQjQRUlmQt8yWak0,25.063547600000003,121.5199867,3.8,169,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區撫順街33號
133,STARBUCKS 星巴克 (庫倫承德門市),ChIJMduMI0mpQjQRE0Bhztm2ClU,25.072088,121.51927620000001,4.2,1342,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大同區庫倫街51號
135,Louisa Coffee 路易．莎咖啡 (圓山直營店),ChIJrRytxUipQjQRVtkDM6Ck5RE,25.070720899999998,121.5190038,3.8,404,"['cafe', 'food', 'point_of_interest', 'establishment']",大同區酒泉街35號
136,Louisa Coffee 路易．莎咖啡(庫倫承德門市),ChIJ_4LjGSepQjQRAJtnqk38M6Q,25.072409,121.51851599999999,4.3,99,"['cafe', 'food', 'point_of_interest', 'establishment']",大同區承德路三段234+236+238號
137,Louisa Coffee 路易．莎咖啡（劍潭店）,ChIJcbc587GuQjQR_9ang1BoH88,25.0839281,121.52433049999999,3.9,362,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",士林區劍潭路6號
138,怡客咖啡 士林店,ChIJi2noNqOuQjQRbA-Scsp0ws8,25.0952467,121.52608059999999,3.7,936,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",士林區中正路231號
139,STARBUCKS 星巴克 (士捷門市),ChIJQ07lNaOuQjQRK7hBSjMi64Q,25.0951671,121.52587890000001,4,680,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",士林區中正路239號
141,Louisa Coffee 路易．莎咖啡(芝山直營店),ChIJBcHaCpeuQjQRR97fUvWyTag,25.10228,121.524103,4.1,415,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",士林區福國路38號
142,丹堤咖啡館,ChIJNXZlAlSuQjQRVWLrCi5TydE,25.109552899999997,121.519479,3.6,401,"['cafe', 'food', 'point_of_interest', 'establishment']",北投區明德路101號
143,Louisa Coffee 路易．莎咖啡 (明德直營店),ChIJGSB19ZGuQjQRY2rOHiffvGM,25.1099137,121.51995590000001,3.8,479,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區明德路119號
144,丹堤咖啡,ChIJNXZlAlSuQjQRWOPQJ2tAvXQ,25.115326,121.515483,3.7,721,"['cafe', 'food', 'point_of_interest', 'establishment']",北投區石牌路二段6號
145,STARBUCKS 星巴克 (石牌門市),ChIJVylxkIyuQjQRZ2JmU-7wn8w,25.116581,121.51624199999999,3.9,569,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","1-3樓, No. 74號, 石牌路二段, 北投區"
147,cama café 台北石牌店,ChIJ___W7oyuQjQRkbsvUWl94ew,25.1156273,121.51600090000001,4.2,181,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區裕民四路3號1樓
148,Dante Coffee,ChIJkWlc4IyuQjQRyZ8Xn96Isv0,25.115364800000002,121.5154983,-,-,"['cafe', 'food', 'point_of_interest', 'establishment']",北投區石牌路二段
149,石牌路易莎咖啡,ChIJ3VtikoyuQjQRiox-k_gJoJ0,25.1161506,121.51625630000001,3.4,292,"['cafe', 'food', 'point_of_interest', 'establishment']",北投區裕民三路3號1樓
