,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
688,八方雲集,ChIJCRrvlHcCaDQRDDbSP_OLyY0,24.9965128,121.5039236,3.4,207,"['restaurant', 'food', 'point_of_interest', 'establishment']",中和區南華路46號
689,八方雲集 (中和永貞店),ChIJR6eFhOepQjQRuUi6qbf-xDA,25.0037376,121.5143005,3.4,189,"['restaurant', 'food', 'point_of_interest', 'establishment']",永和區永貞路250號
690,PIZZA HUT必勝客-永和永安店,ChIJFSi4Et2pQjQRsTa-qgkKMlg,25.004774,121.512689,3.4,226,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","No. 619號, Zhonghe Road, Yonghe District"
694,SUBWAY（永和永安店）,ChIJCykJJtypQjQRvq-VnvzVyuU,25.0005786,121.5091673,3.5,396,"['restaurant', 'food', 'point_of_interest', 'establishment']",永和區中和路413號
695,八方雲集,ChIJGVMSLd-pQjQRh-4KGIXbFe8,24.999075,121.508546,3.5,184,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 169, Yian Road, Zhonghe District"
699,拿坡里披薩 永和店,ChIJVZ_thOupQjQRqlMRxGvQT3Q,25.0127817,121.5192121,3.7,638,"['restaurant', 'food', 'point_of_interest', 'establishment']",永和區竹林路78號
702,八方雲集（永和頂溪店）,ChIJy5StOBapQjQRbaDLqLNY23Y,25.0123188,121.5135683,3.3,189,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 36號, Xinyi Road, Yonghe District"
733,麥當勞-台北民權二店,ChIJzapf0lypQjQRC5aFkrV3Ctg,25.0627312,121.5304366,3.7,1614,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",中山區民權東路二段43號
734,八方雲集 (台北吉林二店),ChIJuyjrD1qpQjQRVJmaHaTvLbM,25.065582,121.5305005,3.5,239,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 391, Jilin Road, Zhongshan District"
735,麥當勞-林森三店,ChIJzapf0lypQjQRj7bRCf57wYM,25.060201,121.525746,3.9,1725,"['restaurant', 'food', 'point_of_interest', 'establishment']",中山區林森北路413號
736,八方雲集 中山永盛店,ChIJe97bJ0OpQjQRC1frGSPFYJI,25.0599225,121.5250309,3.1,201,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 3號, Lane 30, Jinzhou Street, Zhongshan District"
751,SUBWAY三重福德店,ChIJGay9LiOpQjQRwFD3fdYvIi4,25.065242,121.502326,3.9,258,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區福德北路51號
752,八方雲集正義南店,ChIJOYlV0aipQjQRb9LA-rHwy5s,25.0597794,121.4982664,2,4,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 77號, Zhengyi South Road, Sanchong District"
753,麥當勞-三重正義二店,ChIJMaoCeiGpQjQRGhRrT4fkz70,25.0665433,121.4964002,3.8,1555,"['restaurant', 'food', 'point_of_interest', 'establishment']","1樓, No. 176號, 正義北路, 三重區"
757,八方雲集鍋貼水餃專賣店,ChIJNR9UT-CoQjQRLd7rYM5SqJI,25.0633439,121.4896363,3.6,204,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區中正北路103號
759,達美樂（三重中正北店）,ChIJ7eEZ_eGoQjQR-qFCy5ex9pI,25.0631728,121.4900035,3.9,113,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",三重區中正北路77號
760,八方雲集(台北橋店),ChIJzYj0cNSpQjQRR-TuDXdNZ38,25.0614534,121.4867114,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 6號, Wenhua South Road, Sanchong District"
