,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
205,合作金庫 復興分行,ChIJr6ogQ9GrQjQRDe8bwuYeo7s,25.03743,121.543998,1.6,16,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路一段237號
206,兆豐銀行（大安分行）,ChIJHVoinNSrQjQR4YaOGvBB_yI,25.0331649,121.542465,3.3,25,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路三段182號
207,渣打銀行 仁愛分行,ChIJv7qCPdGrQjQRmI_eaTQIbk0,25.0382984,121.5440218,2.7,6,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段1號
208,第一商業銀行-仁愛分行,ChIJyXoaxtGrQjQRFOmD_QE4azc,25.0376092,121.5473003,3.6,11,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段50號
209,華南銀行-仁愛路分行,ChIJB_F7DdqrQjQRI8FVRUHV8Ds,25.0382878,121.5449065,2,13,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段25號
210,台北富邦銀行 大安分行,ChIJmYpUC9GrQjQR3HIjS2FlcQE,25.038197,121.5463071,2.3,14,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",大安區仁愛路四段37號
211,元大證卷,ChIJaXIvQtGrQjQRxrJZMIgRp68,25.03743,121.543998,5,1,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區復興南路一段237號
212,元大證券仁愛分公司,ChIJI9cl89arQjQRmjiSVmj8_7c,25.0374689,121.5439632,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","2f, No. 237號, 復興南路一段, 大安區"
213,華南商業銀行信維分行,ChIJLZ6oEtOrQjQRShKavt6pnpQ,25.0331622,121.5441842,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路四段6號
214,華南銀行 信維分行,ChIJTwBcbdOrQjQRNPcwXx6z8bs,25.0330909,121.5441809,4.1,19,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路四段6號2樓
215,台北富邦銀行 信安分行,ChIJNTdCjDirQjQRTUZ9uYe2-q4,25.0336459,121.5422289,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 151號, Section 3, Xinyi Road, Da’an District"
216,Cathay United Bank Xin'an Branch,ChIJJYVQU2ypQjQRt8jp3c3J5Wg,25.0336707,121.5420748,3.6,17,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","No. 149號, Section 3, Xinyi Road, Da’an District"
217,King's Town Bank,ChIJkQmdy9GrQjQR6M6CKkqH64o,25.038242,121.5472609,3.5,19,"['bank', 'finance', 'point_of_interest', 'establishment']","2樓, No. 75號, Section 4, Ren'ai Road, Da’an District"
218,第一銀行,ChIJ32t2zNGrQjQRnu1Hk8WbVLg,25.0381026,121.5473546,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",Taiwan
219,Chang Hwa Bank,ChIJR7tivs2rQjQRqoyMY-EKWWc,25.0375116,121.5417289,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 136號, Section 3, Ren'ai Road, Da’an District"
220,國泰世華銀行 仁愛分行,ChIJAf25L8-rQjQRpZTvzgXGtXg,25.0383054,121.5478488,3.9,10,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 85號, Section 4, Ren'ai Road, Da’an District"
222,E.SUN BANK Dunnan Branch,ChIJIxiYkc2rQjQRZtv3E-REbZI,25.0334879,121.5492679,3.7,40,"['bank', 'finance', 'point_of_interest', 'establishment']","No. 339號, 敦化南路1段, Da’an District"
223,星展銀行 敦南分行,ChIJQ2GCqdKrQjQReCxg-Elo9PM,25.032325,121.548339,2.5,13,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段26號
254,合作金庫銀行 建國分行,ChIJESqrXtWrQjQRN2JbNybgKLU,25.0337699,121.537388,2.5,14,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路三段77號
256,臺灣銀行ATM,ChIJk4VlI9WrQjQRtguBqPK6xOk,25.0332369,121.5392629,5,2,"['atm', 'bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路三段132號
258,臺灣銀行 信安分行,ChIJAQAAANWrQjQRyaPo2LdE-IQ,25.0332127,121.5392977,3.4,9,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路三段132號
259,台新銀行,ChIJd1pMONWrQjQRFLnhGU5Udyg,25.0332424,121.5388014,3.1,9,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區信義路三段118號
260,行內_大安分行,ChIJ6wtSONWrQjQRJs_w1jodG6M,25.0332211,121.5385882,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']","號, No. 118, 信義路三段, 大安區"
266,台北富邦銀行 仁愛分行,ChIJw8D93dWrQjQRGJO4f2b9Tek,25.037431,121.538455,4,6,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區建國南路一段237號
309,台北富邦银行 敦南分行,ChIJ0yncrMSrQjQR7VnBPdfxnkM,25.0455379,121.548494,3.4,13,"['bank', 'finance', 'point_of_interest', 'establishment']",松山區敦化南路1段108號
310,元大商業銀行 營業部,ChIJBc4MU8KrQjQRWWHCPaJBg8w,25.0473196,121.5484377,2.3,13,"['bank', 'finance', 'point_of_interest', 'establishment']",松山區敦化南路1段66號
311,聯邦商業銀行 敦化分行,ChIJ2YeVOMWrQjQRFQc5zacXtrw,25.0418931,121.5493987,3.5,10,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路1段209之1號
