,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
143,康是美 北醫門市,ChIJeUUlybSrQjQRPHhi6vUt39E,25.026955,121.5638068,4,5,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區吳興街265號
144,屈臣氏-松二,ChIJC7CQk6arQjQR6jaN5i2kTMA,25.037309,121.578158,2.8,21,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區松山路564、566號
145,康是美 微風南山門市,ChIJeUBms86rQjQRP2LbYxx8NF8,25.0343073,121.5659555,2,1,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區松智路17號B2
146,康是美 遠東信義門市,ChIJcxVD4RerQjQR2XARw3cKVDE,25.0367179,121.5681308,4,4,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區松仁路58號B3(216櫃遠東百貨
147,屈臣氏 松壽店,ChIJW8UfsbCrQjQRObM0RL57J1M,25.03531,121.5660665,2.7,25,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區松壽路12號
148,康是美 吳興門市,ChIJQ6dZCLWrQjQRq_4H6GVLKgI,25.029396,121.5618768,3.7,44,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區吳興街141號
149,屈臣氏Watsons,ChIJ17h7e1arQjQRFBwjk_k3QAc,25.0397197,121.5658739,2.7,15,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區松高路11號B2樓
156,屈臣氏Watsons (來店取貨),ChIJXaRb8curQjQR9f9XSSMnb0s,25.0330166,121.5545427,3.8,211,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區信義路四段296號
161,康是美(安和門市),ChIJJxbOCMyrQjQRk69AVYpg4WQ,25.033399,121.5539955,3.4,19,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區信義路四段261號
166,屈臣氏Watsons (來店取貨),ChIJizTVr8mrQjQRw07rFjNPIfw,25.0353955,121.5576874,3.2,34,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區光復南路445-1號
172,康是美 時代門市,ChIJR3DExUOrQjQRm8vSr0Sg64M,25.040937,121.5651225,3.8,10,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 6號, Section 5, Zhongxiao East Road, Xinyi District"
173,康是美 逸仙門市,ChIJE-tz77irQjQRf3vMZidq4Ug,25.041058,121.561903,3.6,22,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 502號, Section 4, Zhongxiao East Road, Xinyi District"
174,屈臣氏,ChIJP_2bde-rQjQRzQfBl6aIJfw,25.0329744,121.5545027,-,-,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 296號, Section 4, Xinyi Road, Da’an District"
