,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
144,皇室美而美,ChIJCfAz7K6pQjQR764yzxQVA9g,25.0346883,121.4987498,3.2,12,"['restaurant', 'food', 'point_of_interest', 'establishment']",萬華區西園路一段244號
147,拉亞漢堡 北市延平南,ChIJ5YtMKhipQjQRDfbDFDqCubc,25.044736,121.510485,3.8,90,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 57號, Yanping South Road, Zhongzheng District"
148,瑞麟美而美(武昌店),ChIJpSZUgAupQjQRoFxzydUyEmY,25.0440182,121.5112324,3.6,87,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 50號, Section 1, Wuchang Street, Zhongzheng District"
150,品味美而美,ChIJR4mBpaepQjQRGu7QBrf4oP0,25.0383421,121.5051178,4.4,52,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 29號, Yongfu Street, Wanhua District"
151,巨林美而美（西寧店）,ChIJz9CWe6epQjQRup5cPfHDT1M,25.0396832,121.5060739,4.3,34,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 178, 西寧南路, 萬華區"
156,JSP呷尚寶,ChIJjXW8LGypQjQR6ry_xEXVg30,25.0501393,121.5194226,3.4,80,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 72, Chang'an West Road, Datong District"
158,Jsp,ChIJk8pf9MCpQjQRINb0-vcA25g,25.0441644,121.5213763,1,1,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區鎮江街2-8號
159,呷尚寶,ChIJxYx4C3GpQjQRWno5O96aNRM,25.0441128,121.5214417,3.7,65,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區青島東路3號
162,呷尚寶 紹興店,ChIJ8bsyB3CpQjQRlXvFGge1GlI,25.045637,121.5253425,3.9,7,"['restaurant', 'food', 'point_of_interest', 'establishment']",中正區紹興北街10-2號號
166,拉亞漢堡-北市濟南店,ChIJF9NU9QWpQjQR2LdiItlteV8,25.0406636,121.5305842,4,152,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 45號, Section 2, Jinan Road, Zhongzheng District"
167,Laya Burger,ChIJf_QUFderQjQRiG_c-xraZDs,25.0410423,121.5411911,3.7,258,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 12號, Lane 248, Section 3, Zhongxiao East Road, Da’an District"
168,巨林美而美 仁愛店,ChIJQ4kAWWqrQjQRcH3YJ_yo16E,25.0370166,121.56115,4.3,23,"['restaurant', 'food', 'point_of_interest', 'establishment']","一樓, No. 6-1號, 仁愛路四段512巷, 信義區"
170,My Warm Day Cafe & Brunch,ChIJw5WWBbyrQjQRL2zLbtJ5tDE,25.042287,121.566183,3.8,332,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 12, Lane 147, Section 1, Keelung Road, Xinyi District"
171,Laya Burger,ChIJMQDjF7yrQjQRPYL59l4p9PY,25.0431325,121.5663117,4.2,49,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 4, Songlong Road, Xinyi District"
174,麥味登(北市松山門市),ChIJQ0kUxlmrQjQREKYIn9W6_e0,25.044465,121.5779883,3.9,217,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 241號, Songshan Road, Xinyi District"
175,美而美,ChIJYSp4gqOrQjQREPGCwx-Mll0,25.040435,121.574114,3.9,9,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 86, Lane 132, Hulin Street, Xinyi District"
176,JSP呷尚寶,ChIJIQGMWKKrQjQR66ZbJI7s6pg,25.0435055,121.574249,3.3,65,"['restaurant', 'food', 'point_of_interest', 'establishment']",信義區永吉路278巷57弄1號
178,匡林美而美,ChIJsfpm8KKrQjQR3xxTiSdQNeA,25.0434994,121.5735378,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
179,呷尚寶,ChIJgWjR96KrQjQRipduBrF9UVc,25.0434711,121.5740762,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",信義區永吉路278巷53號
181,瑞麟美而美,ChIJ1ZFAoXWrQjQRTwWwNglbXsg,25.045767,121.5843724,3.2,20,"['restaurant', 'food', 'point_of_interest', 'establishment']",南港區忠孝東路六段70巷26號號
183,麥味登(北市忠孝店),ChIJc-V6A6GrQjQR1m27bg5WKZg,25.0408319,121.57949,3.7,401,"['restaurant', 'food', 'point_of_interest', 'establishment']",信義區忠孝東路五段524巷6號
184,弘爺漢堡 - 五分埔,ChIJD1Yu8eirQjQR_GnP3HcSxPo,25.0467952,121.5779992,3.3,32,"['restaurant', 'food', 'point_of_interest', 'establishment']",松山區松山路145-1號
185,美而美,ChIJ5autMZ6rQjQRqCs0yfTQFXs,25.0466023,121.5818108,3.6,8,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 26-3號 50 巷, Zhongpo North Road, Nangang District"
188,Hong Ya Hamburger,ChIJ2Vi9MXGrQjQRMQDBdudkIZ4,25.0490375,121.5888446,4.2,87,"['restaurant', 'food', 'point_of_interest', 'establishment']",南港區忠孝東路六段266號
189,呷尚寶,ChIJvVAEGHGrQjQRZHk62i2_Uaw,25.0487884,121.5898826,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",南港區忠孝東路六段278巷5弄10號
190,呷尚寶-元氣店,ChIJg0amJXGrQjQRowB1dfq1nP0,25.0491017,121.5892374,4,223,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 280, 忠孝東路六段, 南港區"
191,呷尚寶,ChIJBUr4UVerQjQRr7RlJY6E-t0,25.051276,121.6175744,4,38,"['restaurant', 'food', 'point_of_interest', 'establishment']",汐止區橫科路6號
192,瑞麟美而美早餐店,ChIJJ1fhjFmrQjQRtdmljMtOz_k,25.0519359,121.6153636,3.8,22,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 125, 中南街, 南港區"
194,巨林美而美,ChIJIeeX0FmrQjQRxL0M9dxu_Y8,25.0532344,121.6164527,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
0,軍功早餐店（巨林美而美）,ChIJbSau9WaqQjQRrAxuMpMkacw,24.9990505,121.5742517,3.5,33,"['restaurant', 'food', 'point_of_interest', 'establishment']",文山區和平東路四段
2,巨林美而美,ChIJtXDL9WaqQjQRLvN4BNLUTDw,24.9991061,121.5742722,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
4,弘爺漢堡,ChIJ3Q8HmzeqQjQRGRXXZXWMhe8,25.0181982,121.5574849,4.2,54,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區臥龍街256-1號
5,呷尚寶早餐店,ChIJQ6pyBEiqQjQR48_TqyHDvYw,25.0171447,121.5602355,4.1,110,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 511, 和平東路三段, 信義區"
6,瑞麟美而美,ChIJ8WqW8DOqQjQRDerVZmRBXvY,25.0242984,121.5536743,1,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Taiwan
8,Laya Burger,ChIJY5aNkC6qQjQRR2NxeC30DMQ,25.0249562,121.5446309,3.9,72,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 291號, Section 2, Heping East Road, Da’an District"
9,Hong Ya Burger 弘爺漢堡,ChIJkduBfwasQjQR9zhNTBy03v0,25.078696,121.5460483,3.8,262,"['restaurant', 'food', 'point_of_interest', 'establishment']",中山區北安路458巷41弄38號
11,大直美而美,ChIJUdXHyQWsQjQRIBxB3fsrTf4,25.0796668,121.5460541,3.8,25,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 520, 北安路, 中山區"
12,瑞麟美而美,ChIJ6Z7YTWSsQjQROo-FeJ2HFWo,25.0805017,121.5744398,2.7,15,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區內湖路一段627號
14,美而美,ChIJCcRpZWSsQjQRxMVvPZZFzOU,25.0798486,121.5762359,4.1,26,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區內湖路一段677號
15,拉亞漢堡 北市文德,ChIJ34EhwomsQjQRzkKYso8qg6c,25.078639,121.5837286,3.6,92,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區文德路107號
16,呷尚寶,ChIJl3I2V4isQjQRPEvNTcrQEoY,25.0765645,121.5851858,3.9,84,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區文德路210巷30弄49號
17,麥味登(內湖旗艦店),ChIJM8m4gmKsQjQROMxg_Uhc3TE,25.0772233,121.5831536,3.3,90,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區文德路90巷43號
18,麥味登(台北葫州店),ChIJHWRfGr2sQjQRK5hwdWIMv2A,25.0709393,121.6076821,3.4,130,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 67, 民權東路六段296巷, 內湖區"
19,拉亞漢堡 北市五分,ChIJe80sjcetQjQR1X-6onX1rTY,25.0676525,121.6133068,3.3,52,"['restaurant', 'food', 'point_of_interest', 'establishment']",內湖區五分街31號
20,呷尚寶 富康店,ChIJCykHJVirQjQRyus2HUF5jrc,25.0546802,121.6163549,3.2,70,"['restaurant', 'food', 'point_of_interest', 'establishment']",南港區市民大道八段619號
23,美而美早餐,ChIJ6SJAUsyrQjQR5asyDVrO2Zg,25.03262,121.5514708,4,16,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 6, Lane 186, Section 4, Xinyi Road, Da’an District"
24,Laya Burger,ChIJq6s9StWrQjQRYL81szk_N00,25.0327774,121.5380936,3.8,96,"['restaurant', 'food', 'point_of_interest', 'establishment']",大安區建國南路二段13號
25,瑞麟美而美,ChIJJ3-ux4KpQjQRDdGhtrd2XDc,25.0338199,121.526439,4.4,222,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 6號, Lane 86, Section 2, Xinyi Road, Da’an District"
27,Hong Ya Hamburger,ChIJjx6uMZmpQjQRMAVgBiJhOh4,25.0315289,121.5178649,3.2,132,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 8號, Lane 59, Section 1, Nanchang Road, Zhongzheng District"
